history: worker_index=15, num_err_id_list=666
current progress: total_cnt=10, err_cnt=8
current progress: total_cnt=20, err_cnt=18
current progress: total_cnt=30, err_cnt=28
current progress: total_cnt=40, err_cnt=38
current progress: total_cnt=50, err_cnt=48
current progress: total_cnt=60, err_cnt=58
current progress: total_cnt=70, err_cnt=68
current progress: total_cnt=80, err_cnt=78
current progress: total_cnt=90, err_cnt=88
current progress: total_cnt=100, err_cnt=98
current progress: total_cnt=110, err_cnt=108
current progress: total_cnt=120, err_cnt=118
current progress: total_cnt=130, err_cnt=128
current progress: total_cnt=140, err_cnt=138
current progress: total_cnt=150, err_cnt=148
current progress: total_cnt=160, err_cnt=157
current progress: total_cnt=170, err_cnt=167
current progress: total_cnt=180, err_cnt=177
current progress: total_cnt=190, err_cnt=187
current progress: total_cnt=200, err_cnt=197
current progress: total_cnt=210, err_cnt=202
current progress: total_cnt=220, err_cnt=209
current progress: total_cnt=230, err_cnt=219
current progress: total_cnt=240, err_cnt=229
current progress: total_cnt=250, err_cnt=239
current progress: total_cnt=260, err_cnt=249
current progress: total_cnt=270, err_cnt=259
current progress: total_cnt=280, err_cnt=269
current progress: total_cnt=290, err_cnt=279
current progress: total_cnt=300, err_cnt=289
current progress: total_cnt=310, err_cnt=299
current progress: total_cnt=320, err_cnt=309
current progress: total_cnt=330, err_cnt=319
current progress: total_cnt=340, err_cnt=329
current progress: total_cnt=350, err_cnt=339
current progress: total_cnt=360, err_cnt=349
current progress: total_cnt=370, err_cnt=359
current progress: total_cnt=380, err_cnt=369
current progress: total_cnt=390, err_cnt=379
current progress: total_cnt=400, err_cnt=389
current progress: total_cnt=410, err_cnt=399
current progress: total_cnt=420, err_cnt=409
current progress: total_cnt=430, err_cnt=419
current progress: total_cnt=440, err_cnt=429
current progress: total_cnt=450, err_cnt=439
current progress: total_cnt=460, err_cnt=449
current progress: total_cnt=470, err_cnt=459
current progress: total_cnt=480, err_cnt=469
current progress: total_cnt=490, err_cnt=479
current progress: total_cnt=500, err_cnt=489
current progress: total_cnt=510, err_cnt=499
current progress: total_cnt=520, err_cnt=509
current progress: total_cnt=530, err_cnt=519
current progress: total_cnt=540, err_cnt=529
current progress: total_cnt=550, err_cnt=539
current progress: total_cnt=560, err_cnt=549
current progress: total_cnt=570, err_cnt=559
current progress: total_cnt=580, err_cnt=569
current progress: total_cnt=590, err_cnt=579
current progress: total_cnt=600, err_cnt=589
current progress: total_cnt=610, err_cnt=599
current progress: total_cnt=620, err_cnt=609
current progress: total_cnt=630, err_cnt=619
current progress: total_cnt=640, err_cnt=629
current progress: total_cnt=650, err_cnt=639
current progress: total_cnt=660, err_cnt=649
finally: total_cnt=666, err_cnt=656
