history: worker_index=1, num_err_id_list=665
current progress: total_cnt=10, err_cnt=5
current progress: total_cnt=20, err_cnt=15
current progress: total_cnt=30, err_cnt=25
current progress: total_cnt=40, err_cnt=35
current progress: total_cnt=50, err_cnt=45
current progress: total_cnt=60, err_cnt=55
current progress: total_cnt=70, err_cnt=65
current progress: total_cnt=80, err_cnt=75
current progress: total_cnt=90, err_cnt=85
current progress: total_cnt=100, err_cnt=95
current progress: total_cnt=110, err_cnt=105
current progress: total_cnt=120, err_cnt=115
current progress: total_cnt=130, err_cnt=125
current progress: total_cnt=140, err_cnt=135
current progress: total_cnt=150, err_cnt=145
current progress: total_cnt=160, err_cnt=153
current progress: total_cnt=170, err_cnt=163
current progress: total_cnt=180, err_cnt=173
current progress: total_cnt=190, err_cnt=183
current progress: total_cnt=200, err_cnt=193
current progress: total_cnt=210, err_cnt=199
current progress: total_cnt=220, err_cnt=206
current progress: total_cnt=230, err_cnt=216
current progress: total_cnt=240, err_cnt=226
current progress: total_cnt=250, err_cnt=236
current progress: total_cnt=260, err_cnt=246
current progress: total_cnt=270, err_cnt=256
current progress: total_cnt=280, err_cnt=266
current progress: total_cnt=290, err_cnt=276
current progress: total_cnt=300, err_cnt=286
current progress: total_cnt=310, err_cnt=296
current progress: total_cnt=320, err_cnt=306
current progress: total_cnt=330, err_cnt=316
current progress: total_cnt=340, err_cnt=326
current progress: total_cnt=350, err_cnt=336
current progress: total_cnt=360, err_cnt=346
current progress: total_cnt=370, err_cnt=356
current progress: total_cnt=380, err_cnt=366
current progress: total_cnt=390, err_cnt=376
current progress: total_cnt=400, err_cnt=386
current progress: total_cnt=410, err_cnt=396
current progress: total_cnt=420, err_cnt=406
current progress: total_cnt=430, err_cnt=416
current progress: total_cnt=440, err_cnt=426
current progress: total_cnt=450, err_cnt=436
current progress: total_cnt=460, err_cnt=446
current progress: total_cnt=470, err_cnt=456
current progress: total_cnt=480, err_cnt=466
current progress: total_cnt=490, err_cnt=476
current progress: total_cnt=500, err_cnt=486
current progress: total_cnt=510, err_cnt=496
current progress: total_cnt=520, err_cnt=506
current progress: total_cnt=530, err_cnt=516
current progress: total_cnt=540, err_cnt=526
current progress: total_cnt=550, err_cnt=536
current progress: total_cnt=560, err_cnt=546
current progress: total_cnt=570, err_cnt=556
current progress: total_cnt=580, err_cnt=566
current progress: total_cnt=590, err_cnt=576
current progress: total_cnt=600, err_cnt=586
current progress: total_cnt=610, err_cnt=596
current progress: total_cnt=620, err_cnt=606
current progress: total_cnt=630, err_cnt=616
current progress: total_cnt=640, err_cnt=626
current progress: total_cnt=650, err_cnt=636
current progress: total_cnt=660, err_cnt=646
finally: total_cnt=665, err_cnt=652
